Algorithm,Params,EvaluationMethod,TP,FP,FN,Precision,Recall,F1-Score,GT_Relevant,Predicted_Boxes,Timestamp,Seed,TotalSimTime,NumInitialObstacles,AgentSpeed,LiDAR_Range,PaddingCells,ClusteringTime_sec,LiDAR_Noise_Enabled,LiDAR_Noise_Level
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,3,25,53,0.107,0.054,0.071,56,28,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.1734,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,0,33,1.0,0.411,0.582,56,23,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.009,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,24,3,32,0.889,0.429,0.578,56,27,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0298,True,0.05
KMEANS,"{'n_clusters': 56, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,26,12,30,0.684,0.464,0.553,56,38,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0158,True,0.05
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,20,8,36,0.714,0.357,0.476,56,28,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.1456,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,18,5,38,0.783,0.321,0.456,56,23,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0092,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,24,3,32,0.889,0.429,0.578,56,27,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0249,True,0.05
KMEANS,"{'n_clusters': 56, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,25,13,31,0.658,0.446,0.532,56,38,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.0154,True,0.05
GMM,"{'n_components': 56, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,20,8,36,0.714,0.357,0.476,56,28,2025-05-22 17:59:10,5,20.0,80,20,30,1,0.136,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,6,9,29,0.4,0.171,0.24,35,15,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0125,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,6,10,29,0.375,0.171,0.235,35,16,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0396,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,2,25,33,0.074,0.057,0.065,35,27,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0124,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,2,17,33,0.105,0.057,0.074,35,19,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.1312,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,15,0,20,1.0,0.429,0.6,35,15,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0102,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,15,1,20,0.938,0.429,0.588,35,16,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0357,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,17,10,18,0.63,0.486,0.548,35,27,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0104,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,16,3,19,0.842,0.457,0.593,35,19,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0961,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,13,2,22,0.867,0.371,0.52,35,15,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0085,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,15,1,20,0.938,0.429,0.588,35,16,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0331,True,0.05
KMEANS,"{'n_clusters': 35, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,16,11,19,0.593,0.457,0.516,35,27,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0095,True,0.05
GMM,"{'n_components': 35, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,12,7,23,0.632,0.343,0.444,35,19,2025-05-22 17:59:14,5,20.0,80,20,30,1,0.0973,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,2,10,41,0.167,0.047,0.073,43,12,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0056,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,4,10,39,0.286,0.093,0.14,43,14,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0167,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,0,25,43,0.0,0.0,0.0,43,25,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0256,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,0,16,43,0.0,0.0,0.0,43,16,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.2446,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,11,1,32,0.917,0.256,0.4,43,12,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0039,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,10,4,33,0.714,0.233,0.351,43,14,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0163,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,16,9,27,0.64,0.372,0.471,43,25,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0115,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,13,3,30,0.812,0.302,0.441,43,16,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.2043,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,12,0,31,1.0,0.279,0.436,43,12,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0039,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,14,0,29,1.0,0.326,0.491,43,14,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.015,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,14,11,29,0.56,0.326,0.412,43,25,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.0095,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,12,4,31,0.75,0.279,0.407,43,16,2025-05-22 17:59:19,5,20.0,80,20,30,1,0.2029,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,6,8,24,0.429,0.2,0.273,30,14,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.009,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,5,12,25,0.294,0.167,0.213,30,17,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0303,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,2,25,28,0.074,0.067,0.07,30,27,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0097,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,3,20,27,0.13,0.1,0.113,30,23,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.1442,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,12,2,18,0.857,0.4,0.545,30,14,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0062,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,14,3,16,0.824,0.467,0.596,30,17,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0289,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,17,10,13,0.63,0.567,0.596,30,27,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0475,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,17,6,13,0.739,0.567,0.642,30,23,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.1177,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,12,2,18,0.857,0.4,0.545,30,14,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0071,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,14,3,16,0.824,0.467,0.596,30,17,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.0326,True,0.05
KMEANS,"{'n_clusters': 30, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,16,11,14,0.593,0.533,0.561,30,27,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.009,True,0.05
GMM,"{'n_components': 30, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,14,9,16,0.609,0.467,0.528,30,23,2025-05-22 17:59:23,5,20.0,80,20,30,1,0.1005,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,13,4,30,0.765,0.302,0.433,43,17,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0114,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,8,13,35,0.381,0.186,0.25,43,21,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0401,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,3,30,40,0.091,0.07,0.079,43,33,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0228,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,3,23,40,0.115,0.07,0.087,43,26,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.2214,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,17,0,26,1.0,0.395,0.567,43,17,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0083,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,18,3,25,0.857,0.419,0.563,43,21,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.029,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,18,15,25,0.545,0.419,0.474,43,33,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0142,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,16,10,27,0.615,0.372,0.464,43,26,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.1916,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,16,1,27,0.941,0.372,0.533,43,17,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0077,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,17,4,26,0.81,0.395,0.531,43,21,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0279,True,0.05
KMEANS,"{'n_clusters': 43, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,19,14,24,0.576,0.442,0.5,43,33,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.0106,True,0.05
GMM,"{'n_components': 43, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,16,10,27,0.615,0.372,0.464,43,26,2025-05-22 17:59:29,5,20.0,80,20,30,1,0.196,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,18,13,54,0.581,0.25,0.35,72,31,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0248,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,12,28,60,0.3,0.167,0.214,72,40,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0889,True,0.05
KMEANS,"{'n_clusters': 72, 'random_state': 5, 'n_init': 'auto'}",3D_IOU,6,56,66,0.097,0.083,0.09,72,62,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0381,True,0.05
GMM,"{'n_components': 72, 'covariance_type': 'full', 'random_state': 5}",3D_IOU,8,42,64,0.16,0.111,0.131,72,50,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.8728,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,31,0,41,1.0,0.431,0.602,72,31,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0254,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,32,8,40,0.8,0.444,0.571,72,40,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0705,True,0.05
KMEANS,"{'n_clusters': 72, 'random_state': 5, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,36,26,36,0.581,0.5,0.537,72,62,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0279,True,0.05
GMM,"{'n_components': 72, 'covariance_type': 'full', 'random_state': 5}",2D_CENTER_IN_GT_AREA,32,18,40,0.64,0.444,0.525,72,50,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.8353,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,29,2,43,0.935,0.403,0.563,72,31,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0265,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,34,6,38,0.85,0.472,0.607,72,40,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0737,True,0.05
KMEANS,"{'n_clusters': 72, 'random_state': 5, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,37,25,35,0.597,0.514,0.552,72,62,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.0304,True,0.05
GMM,"{'n_components': 72, 'covariance_type': 'full', 'random_state': 5}",2D_AREA_OVERLAP_RATIO,34,16,38,0.68,0.472,0.557,72,50,2025-05-22 17:59:36,5,20.0,80,20,30,1,0.907,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,5,16,48,0.238,0.094,0.135,53,21,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0087,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,4,20,49,0.167,0.075,0.104,53,24,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0327,True,0.05
KMEANS,"{'n_clusters': 53, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,1,36,52,0.027,0.019,0.022,53,37,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0188,True,0.05
GMM,"{'n_components': 53, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,2,25,51,0.074,0.038,0.05,53,27,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.2318,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,1,33,0.952,0.377,0.541,53,21,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0065,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,20,4,33,0.833,0.377,0.519,53,24,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0239,True,0.05
KMEANS,"{'n_clusters': 53, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,23,14,30,0.622,0.434,0.511,53,37,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.012,True,0.05
GMM,"{'n_components': 53, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,22,5,31,0.815,0.415,0.55,53,27,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.1934,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,18,3,35,0.857,0.34,0.486,53,21,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0071,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,19,5,34,0.792,0.358,0.494,53,24,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0253,True,0.05
KMEANS,"{'n_clusters': 53, 'random_state': 6, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,19,18,34,0.514,0.358,0.422,53,37,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.0122,True,0.05
GMM,"{'n_components': 53, 'covariance_type': 'full', 'random_state': 6}",2D_AREA_OVERLAP_RATIO,17,10,36,0.63,0.321,0.425,53,27,2025-05-22 17:59:41,6,20.0,80,20,30,1,0.1994,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,18,14,53,0.562,0.254,0.35,71,32,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0147,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,13,21,58,0.382,0.183,0.248,71,34,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0534,True,0.05
KMEANS,"{'n_clusters': 71, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,6,50,65,0.107,0.085,0.094,71,56,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0349,True,0.05
GMM,"{'n_components': 71, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,10,31,61,0.244,0.141,0.179,71,41,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.5751,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,32,0,39,1.0,0.451,0.621,71,32,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0118,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,30,4,41,0.882,0.423,0.571,71,34,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0453,True,0.05
KMEANS,"{'n_clusters': 71, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,34,22,37,0.607,0.479,0.535,71,56,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0268,True,0.05
GMM,"{'n_components': 71, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,31,10,40,0.756,0.437,0.554,71,41,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.5789,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,30,2,41,0.938,0.423,0.583,71,32,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0115,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,6,43,0.824,0.394,0.533,71,34,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0441,True,0.05
KMEANS,"{'n_clusters': 71, 'random_state': 6, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,32,24,39,0.571,0.451,0.504,71,56,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.0262,True,0.05
GMM,"{'n_components': 71, 'covariance_type': 'full', 'random_state': 6}",2D_AREA_OVERLAP_RATIO,28,13,43,0.683,0.394,0.5,71,41,2025-05-22 17:59:46,6,20.0,80,20,30,1,0.5151,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,10,20,55,0.333,0.154,0.211,65,30,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0244,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,9,24,56,0.273,0.138,0.184,65,33,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0687,True,0.05
KMEANS,"{'n_clusters': 65, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,7,40,58,0.149,0.108,0.125,65,47,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0332,True,0.05
GMM,"{'n_components': 65, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,8,31,57,0.205,0.123,0.154,65,39,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.2997,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,29,1,36,0.967,0.446,0.611,65,30,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0183,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,22,11,43,0.667,0.338,0.449,65,33,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.056,True,0.05
KMEANS,"{'n_clusters': 65, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,30,17,35,0.638,0.462,0.536,65,47,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0222,True,0.05
GMM,"{'n_components': 65, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,29,10,36,0.744,0.446,0.558,65,39,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.3511,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,29,1,36,0.967,0.446,0.611,65,30,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0189,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_AREA_OVERLAP_RATIO,28,5,37,0.848,0.431,0.571,65,33,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.057,True,0.05
KMEANS,"{'n_clusters': 65, 'random_state': 6, 'n_init': 'auto'}",2D_AREA_OVERLAP_RATIO,32,15,33,0.681,0.492,0.571,65,47,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.0216,True,0.05
GMM,"{'n_components': 65, 'covariance_type': 'full', 'random_state': 6}",2D_AREA_OVERLAP_RATIO,31,8,34,0.795,0.477,0.596,65,39,2025-05-22 17:59:52,6,20.0,80,20,30,1,0.3121,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",3D_IOU,9,15,40,0.375,0.184,0.247,49,24,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.0119,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",3D_IOU,9,17,40,0.346,0.184,0.24,49,26,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.045,True,0.05
KMEANS,"{'n_clusters': 49, 'random_state': 6, 'n_init': 'auto'}",3D_IOU,7,32,42,0.179,0.143,0.159,49,39,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.0297,True,0.05
GMM,"{'n_components': 49, 'covariance_type': 'full', 'random_state': 6}",3D_IOU,7,24,42,0.226,0.143,0.175,49,31,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.3883,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_CENTER_IN_GT_AREA,23,1,26,0.958,0.469,0.63,49,24,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.0085,True,0.05
HDBSCAN,"{'min_cluster_size': 5, 'min_samples': None, 'cluster_selection_epsilon': 0.0, 'allow_single_cluster': True}, YScl:0.2",2D_CENTER_IN_GT_AREA,18,8,31,0.692,0.367,0.48,49,26,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.0329,True,0.05
KMEANS,"{'n_clusters': 49, 'random_state': 6, 'n_init': 'auto'}",2D_CENTER_IN_GT_AREA,21,18,28,0.538,0.429,0.477,49,39,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.015,True,0.05
GMM,"{'n_components': 49, 'covariance_type': 'full', 'random_state': 6}",2D_CENTER_IN_GT_AREA,23,8,26,0.742,0.469,0.575,49,31,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.38,True,0.05
DBSCAN,"{'eps': 1, 'min_samples': 3}, YScl:0.2",2D_AREA_OVERLAP_RATIO,21,3,28,0.875,0.429,0.575,49,24,2025-05-22 17:59:58,6,20.0,80,20,30,1,0.01,True,0.05
